Wall time,Step,Value
1786856035.9509556,0,-200.0
1786856410.9689915,16000,-200.0
1786856817.5148346,32000,-200.0
1786857200.946209,48000,-190.6999969482422
1786857599.1931317,63544,-153.89999389648438
1786857986.4299843,79355,-143.10000610351562
1786858413.9851322,94982,-124.69999694824219
1786858781.805453,110598,-109.30000305175781
1786859153.7030602,125416,-109.30000305175781
1786859527.7358108,140050,-128.0
1786859903.6050506,154941,-134.0
1786860277.5513875,170189,-120.30000305175781
1786860659.1395364,185084,-116.9000015258789
