Wall time,Step,Value
1786919017.9990442,0,-200.0
1786919027.8248415,3200,-200.0
1786919037.9638953,6400,-200.0
1786919047.6263142,9600,-200.0
1786919056.5426672,12800,-200.0
1786919065.9617457,16000,-200.0
1786919074.9560416,19200,-200.0
1786919084.0318537,22400,-200.0
1786919093.2895074,25600,-200.0
1786919101.7306833,28800,-200.0
1786919110.86604,32000,-200.0
1786919118.9731855,35200,-200.0
1786919128.1301143,38400,-200.0
1786919136.8458905,41600,-200.0
1786919146.1970634,44800,-200.0
1786919155.6548748,48000,-200.0
1786919164.861771,51200,-200.0
1786919173.9465265,54400,-200.0
1786919182.5097375,57600,-200.0
1786919194.0671458,60800,-159.1999969482422
1786919205.402168,64000,-144.10000610351562
1786919216.8725266,67200,-116.80000305175781
1786919225.5795848,70240,-133.0
1786919235.086583,73264,-134.5
1786919244.0117857,75968,-135.60000610351562
1786919252.5895138,78632,-128.10000610351562
1786919260.8402517,81256,-122.30000305175781
1786919269.6172736,83848,-103.19999694824219
1786919278.092654,86208,-104.19999694824219
1786919286.9487443,88752,-111.4000015258789
1786919296.3341496,91464,-114.9000015258789
1786919305.7108428,94200,-123.30000305175781
1786919313.4787867,96656,-125.0999984741211
1786919321.8388867,99088,-115.4000015258789
1786919330.1336794,101672,-106.80000305175781
1786919339.914425,104240,-112.69999694824219
1786919350.4416983,106928,-130.60000610351562
1786919359.042387,109424,-130.39999389648438
1786919366.687604,111976,-113.80000305175781
1786919374.5209315,114400,-110.9000015258789
1786919382.6776898,117072,-113.19999694824219
1786919391.438321,119408,-129.6999969482422
1786919399.200165,121904,-112.30000305175781
1786919407.2360454,124456,-111.9000015258789
1786919415.5817964,127032,-104.5
1786919425.5179133,129488,-102.9000015258789
1786919434.4281347,131992,-102.0
1786919444.7353544,134504,-101.5
1786919453.7795546,136872,-101.9000015258789
1786919462.429035,139256,-100.80000305175781
1786919470.2137926,141688,-100.0
1786919478.5749173,144240,-98.5999984741211
1786919486.7021546,146776,-98.5999984741211
1786919494.7211359,149280,-102.5
1786919503.593523,151880,-100.0
1786919512.9414093,154216,-99.5999984741211
1786919521.7141776,156816,-97.5999984741211
1786919530.1469607,159376,-97.69999694824219
1786919538.749824,161832,-98.80000305175781
1786919546.826281,164464,-104.9000015258789
1786919555.98907,167064,-100.5
1786919565.054316,169472,-99.69999694824219
1786919574.0515275,171992,-101.30000305175781
1786919581.682559,174512,-101.4000015258789
1786919591.2127972,176856,-102.30000305175781
1786919601.4224288,179416,-109.30000305175781
1786919611.8222265,181872,-118.69999694824219
1786919620.7537668,184536,-122.5999984741211
1786919630.6272054,187200,-123.0999984741211
1786919638.817301,189928,-120.5
1786919646.5757985,192528,-113.0
1786919654.421905,195072,-107.5
1786919662.6067722,197704,-99.5
