Wall time,Step,Value
1786736679.7636504,0,-200.0
1786737068.1480668,16000,-200.0
1786737448.6896138,32000,-186.8000030517578
1786737824.113836,48000,-124.30000305175781
1786738195.239056,63748,-107.30000305175781
1786738570.1465476,79210,-124.5
1786738941.5868866,93872,-106.0999984741211
1786739318.854591,108613,-130.6999969482422
1786739702.0295095,123494,-105.0999984741211
1786740107.3187678,138113,-107.4000015258789
1786740509.4869733,152496,-105.5
1786740923.5168781,166924,-147.5
1786741319.6353903,181695,-105.0
1786741724.5235744,196007,-128.8000030517578
