Wall time,Step,Value
1786726877.3426404,0,-200.0
1786727257.8647242,16000,-195.10000610351562
1786727634.6976464,32000,-165.5
1786728009.8895698,48000,-127.0
1786728386.826293,63455,-137.39999389648438
1786728755.155657,79005,-105.0
1786729130.4785342,93487,-119.69999694824219
1786729510.641348,108086,-114.9000015258789
1786729884.4540083,122198,-128.60000610351562
1786730262.10558,136285,-123.0
1786730638.8105345,150523,-120.69999694824219
1786731012.0531151,164156,-111.69999694824219
1786731396.869669,178427,-122.9000015258789
1786731780.5212214,192417,-137.6999969482422
1786732162.3377726,207086,-128.3000030517578
1786732547.0561252,221669,-123.30000305175781
1786732932.7659066,236588,-126.4000015258789
1786733323.621163,251072,-121.0999984741211
1786733711.1659708,265659,-142.89999389648438
1786734095.4247227,280561,-135.89999389648438
1786734481.2256536,295308,-137.10000610351562
