Wall time,Step,Value
1786919674.2376606,0,-200.0
1786919685.9673908,3200,-200.0
1786919697.090349,6400,-200.0
1786919707.820721,9600,-200.0
1786919718.6558661,12800,-200.0
1786919727.4218872,16000,-200.0
1786919736.341706,19200,-200.0
1786919745.8613536,22400,-200.0
1786919756.3243449,25600,-200.0
1786919765.9484944,28800,-200.0
1786919775.0082383,32000,-200.0
1786919784.878765,35200,-200.0
1786919795.3650432,38400,-200.0
1786919804.2544065,41600,-200.0
1786919813.406491,44800,-200.0
1786919823.52794,48000,-200.0
1786919832.2910883,51200,-200.0
1786919842.2488089,54400,-200.0
1786919852.12358,57600,-200.0
1786919862.4416282,60800,-200.0
1786919871.4028966,64000,-200.0
1786919880.7949643,67200,-200.0
1786919890.2880106,70400,-200.0
1786919900.89835,73600,-200.0
1786919911.3137097,76800,-200.0
1786919922.1576385,80000,-200.0
1786919934.064681,83200,-200.0
1786919945.675502,86400,-200.0
1786919955.802557,89600,-200.0
1786919966.2442589,92800,-200.0
1786919974.8609607,96000,-200.0
1786919985.616905,99200,-200.0
1786919994.8575764,102400,-200.0
1786920003.2246497,105600,-200.0
1786920011.8136623,108800,-200.0
1786920021.4837086,112000,-200.0
1786920030.4576263,115200,-200.0
1786920039.0278914,118400,-200.0
1786920046.5781915,121600,-200.0
1786920056.203214,124800,-200.0
1786920065.681101,128000,-200.0
1786920074.8895524,131200,-200.0
1786920083.9053671,134400,-200.0
1786920094.6335695,137600,-200.0
1786920103.8883276,140800,-200.0
1786920113.0485244,144000,-200.0
1786920122.3598595,147200,-200.0
1786920132.8395643,150400,-200.0
1786920143.5962377,153600,-200.0
1786920155.5968382,156800,-200.0
1786920167.0600338,160000,-200.0
1786920178.1871245,163200,-200.0
1786920186.7741535,166400,-200.0
1786920197.2864604,169600,-200.0
1786920207.2869415,172800,-200.0
1786920217.5017393,176000,-200.0
1786920227.7734315,179200,-200.0
1786920236.712372,182400,-200.0
1786920246.0152276,185600,-200.0
1786920254.6431844,188800,-200.0
1786920264.9331355,192000,-200.0
1786920274.789619,195200,-200.0
1786920286.1712518,198400,-200.0
