Wall time,Step,Value
1785903142.1111553,0,9.399999618530273
1785903198.3170292,553,15.300000190734863
1785903236.892631,989,9.399999618530273
1785903272.370052,1277,9.800000190734863
1785903301.5302653,1490,10.300000190734863
1785903330.708137,1710,14.300000190734863
1785903365.6786604,1999,17.0
1785903414.0378878,2394,40.79999923706055
1785903483.5095062,3237,61.400001525878906
1785903571.4927342,4316,92.0
1785903782.381993,5817,500.0
1785903982.8229663,7532,194.89999389648438
1785904160.0888917,9022,178.10000610351562
1785904388.2087238,11493,320.8999938964844
1785904599.6785166,13910,100.5999984741211
1785904751.711081,15245,66.69999694824219
1785904917.6566212,16488,83.19999694824219
1785905141.2640755,18378,132.89999389648438
1785905435.7727644,20869,440.70001220703125
1785905730.8955185,25674,288.79998779296875
1785905982.0379615,29508,220.8000030517578
1785906275.1766083,33189,304.29998779296875
1785906591.023384,37575,305.3999938964844
1785906811.4561398,40908,264.5
1785906987.9540303,43795,184.0
1785907221.9083874,46422,207.0
1785907383.1715744,49209,179.0
1785907594.8452923,52056,200.0
1785907869.2369375,55269,256.1000061035156
1785908051.5689752,57871,215.39999389648438
1785908284.9904652,60512,305.20001220703125
1785908516.439965,63305,256.70001220703125
1785908716.800517,65748,212.0
1785908865.1754227,68147,163.10000610351562
1785908995.653688,70318,164.89999389648438
1785909139.86677,72680,167.39999389648438
1785909294.3270323,75130,179.60000610351562
1785909471.4866617,77756,193.60000610351562
1785909728.6855614,80484,228.89999389648438
1785909891.202346,82973,190.89999389648438
1785910054.7593703,85573,191.5
1785910225.0438697,88042,209.60000610351562
1785910380.9054089,90556,173.39999389648438
1785910530.2160432,92974,157.60000610351562
1785910692.6174502,95395,177.3000030517578
1785910866.961989,98069,233.1999969482422
