Wall time,Step,Value
1785895006.3902974,0,9.5
1785895069.4296467,528,39.599998474121094
1785895109.800838,966,19.200000762939453
1785895145.454038,1341,9.399999618530273
1785895172.3225477,1591,9.300000190734863
1785895200.0500088,1817,9.899999618530273
1785895234.218869,2125,9.399999618530273
1785895269.0649981,2398,10.699999809265137
1785895305.7781408,2711,12.0
1785895378.2281525,3303,34.79999923706055
1785895447.4859228,3909,47.099998474121094
1785895562.8794036,4805,115.5
1785895730.6202886,5853,131.89999389648438
1785895913.9253364,7221,169.6999969482422
1785896140.1609328,9028,273.79998779296875
1785896280.4874244,10582,158.1999969482422
1785896466.1631246,12408,263.29998779296875
1785896709.0601912,15113,252.89999389648438
1785896862.6102757,16750,178.0
1785897104.2366936,18826,433.70001220703125
1785897297.9914167,20895,173.60000610351562
1785897520.1772995,23466,165.10000610351562
1785897750.7343173,26160,171.8000030517578
1785897951.6839423,28868,184.6999969482422
1785898169.2319276,31185,185.39999389648438
1785898400.7826462,33511,322.20001220703125
1785898562.545708,35503,169.3000030517578
1785898778.5099468,37838,143.0
1785898971.9338298,39887,136.1999969482422
1785899175.606153,42972,177.6999969482422
1785899347.2984374,45320,165.10000610351562
1785899627.8815608,48930,135.39999389648438
1785899820.0031762,51250,153.1999969482422
1785900014.0834205,53764,155.5
1785900327.2647972,58263,185.5
1785900616.3286326,62356,192.3000030517578
1785900976.0906904,67409,473.8999938964844
1785901276.8775616,71135,315.5
1785901528.6424038,74978,188.3000030517578
1785901775.8189185,78784,179.39999389648438
1785902010.7052135,82750,193.10000610351562
1785902310.0949314,86864,186.1999969482422
1785902618.6198666,92230,195.39999389648438
1785902917.2410986,97118,175.89999389648438
