Wall time,Step,Value
1785950339.3927689,0,9.300000190734863
1785950340.5759346,1128,9.300000190734863
1785950341.8027785,2232,9.300000190734863
1785950342.9941547,3288,9.300000190734863
1785950344.1905034,4368,9.300000190734863
1785950345.3380377,5480,9.300000190734863
1785950346.293991,6568,9.300000190734863
1785950347.2518473,7608,9.300000190734863
1785950348.2188165,8664,9.300000190734863
1785950349.35642,9712,9.300000190734863
1785950350.323767,10808,9.300000190734863
1785950351.2668815,11880,10.800000190734863
1785950352.3024561,12976,13.800000190734863
1785950353.5551264,14072,15.199999809265137
1785950354.8671396,15152,201.0
1785950356.2743444,16232,136.8000030517578
1785950358.1306067,17288,153.10000610351562
1785950359.8231204,18312,173.6999969482422
1785950361.0839498,19384,128.89999389648438
1785950362.4285994,20464,121.80000305175781
1785950364.2520897,21520,264.1000061035156
1785950365.864878,22584,325.1000061035156
1785950367.2356439,23624,253.10000610351562
1785950368.7181659,24656,408.70001220703125
1785950370.4054627,25712,493.8999938964844
1785950372.0016162,26752,500.0
1785950373.5296266,27792,449.70001220703125
1785950375.2077832,28832,471.29998779296875
1785950376.7952309,29920,500.0
1785950378.6183271,30960,346.70001220703125
1785950380.1586325,32000,225.60000610351562
1785950381.7740085,33040,423.3999938964844
1785950383.0975556,34088,354.0
1785950384.3606186,35128,273.5
1785950385.7876985,36192,322.8999938964844
1785950387.039226,37256,201.1999969482422
1785950388.3863435,38312,239.1999969482422
1785950390.3556073,39368,488.20001220703125
1785950392.3583803,40424,195.89999389648438
1785950394.5584233,41472,500.0
1785950396.0088387,42528,194.8000030517578
1785950397.3943565,43584,193.39999389648438
1785950398.8487928,44624,206.1999969482422
1785950400.381255,45672,203.5
1785950401.9071343,46712,210.3000030517578
1785950403.427333,47792,193.10000610351562
1785950404.976328,48856,181.3000030517578
1785950406.579212,49904,177.10000610351562
1785950408.068519,50944,185.5
1785950409.5198545,52024,195.60000610351562
1785950410.917892,53080,216.5
1785950412.36072,54120,206.89999389648438
1785950413.834881,55176,193.3000030517578
1785950415.3793457,56240,235.1999969482422
1785950416.890058,57312,226.8000030517578
1785950418.442177,58384,280.0
1785950419.9260175,59424,283.20001220703125
1785950421.8761044,60464,320.70001220703125
1785950423.5127604,61528,305.5
1785950425.0614002,62576,247.6999969482422
1785950426.6101162,63632,262.3999938964844
1785950428.4244096,64680,199.89999389648438
1785950429.923408,65744,207.6999969482422
1785950431.7745662,66792,366.79998779296875
1785950433.6203763,67840,363.5
1785950435.4771485,68880,385.79998779296875
1785950437.1760726,69928,438.5
1785950439.1104546,71000,499.79998779296875
1785950441.042076,72040,498.8999938964844
1785950442.8890634,73080,500.0
1785950444.672342,74120,500.0
1785950446.4156847,75168,500.0
1785950448.3626027,76208,500.0
1785950450.2209663,77296,500.0
1785950452.3416016,78336,485.3999938964844
1785950454.291808,79416,389.1000061035156
1785950456.1025283,80456,246.6999969482422
1785950457.9049714,81512,279.79998779296875
1785950459.2971601,82568,161.6999969482422
1785950460.6866663,83624,148.1999969482422
1785950462.1977596,84664,158.10000610351562
1785950463.5039759,85736,130.3000030517578
1785950465.025663,86792,137.1999969482422
1785950466.4354677,87864,140.3000030517578
1785950467.9451115,88944,120.5
1785950469.3496199,89992,97.0999984741211
1785950470.6843843,91056,113.80000305175781
1785950472.0203319,92080,104.80000305175781
1785950473.3918808,93136,104.69999694824219
1785950474.8226073,94248,97.69999694824219
1785950476.1110294,95344,21.600000381469727
1785950477.5461507,96384,188.3000030517578
1785950479.1062198,97424,186.89999389648438
1785950480.7434847,98464,242.8000030517578
1785950482.3117423,99536,165.6999969482422
