Wall time,Step,Value
1785953103.449262,0,10.199999809265137
1785953105.7171814,4544,104.0999984741211
1785953107.8936393,9208,140.3000030517578
1785953109.7941656,13280,172.10000610351562
1785953111.5677412,17888,155.10000610351562
1785953113.528535,22032,387.29998779296875
1785953115.4544208,26072,382.70001220703125
1785953117.606665,30120,469.20001220703125
1785953119.5370398,34328,327.29998779296875
1785953121.2614663,38432,165.5
1785953123.0014057,42552,157.3000030517578
1785953124.7716167,47088,149.6999969482422
1785953126.8119926,51432,297.3999938964844
1785953128.982827,56064,314.1000061035156
1785953130.9105859,60000,305.70001220703125
1785953132.8619833,64120,323.0
1785953134.7287169,68112,256.79998779296875
1785953136.6465433,72968,215.60000610351562
1785953138.384259,77112,167.3000030517578
1785953140.2190793,81880,129.10000610351562
1785953142.224218,86464,205.39999389648438
1785953144.0355313,91024,210.8000030517578
1785953146.1513324,95800,376.5
