Wall time,Step,Value
1785918552.9338691,0,8.899999618530273
1785918618.3629327,567,18.200000762939453
1785918652.5893247,861,9.100000381469727
1785918692.245996,1162,9.800000190734863
1785918721.3843966,1384,9.5
1785918749.9936233,1606,10.699999809265137
1785918781.4440236,1825,13.600000381469727
1785918813.2960422,2101,17.799999237060547
1785918864.61175,2406,85.0999984741211
1785918908.5716717,2841,26.600000381469727
1785918976.0026805,3299,64.9000015258789
1785919065.0027535,4056,100.19999694824219
1785919169.0427215,5107,101.0999984741211
1785919303.3086576,6862,111.69999694824219
1785919430.5975466,8354,109.19999694824219
1785919571.2360325,10150,154.6999969482422
1785919785.1527457,11792,456.70001220703125
1785919861.5069458,12654,10.0
1785919979.9203792,13363,156.39999389648438
1785920185.2126954,14752,350.1000061035156
1785920424.5079577,16945,373.79998779296875
1785920650.5919852,18970,351.70001220703125
1785920791.038653,20968,131.89999389648438
1785920920.382324,22663,121.0
1785921165.1104443,24998,332.1000061035156
1785921383.672023,26899,264.1000061035156
1785921661.4836378,29327,322.3999938964844
1785921977.4127772,32534,307.70001220703125
1785922163.6446624,34678,197.5
1785922330.0435717,37006,177.60000610351562
1785922541.794626,39514,245.0
1785922778.6227136,41674,297.70001220703125
1785923089.401583,44392,365.29998779296875
1785923350.9131086,47153,190.89999389648438
1785923548.7492566,49298,238.0
1785923744.6835582,51598,154.6999969482422
1785923985.4024897,53682,274.29998779296875
1785924186.6600776,55465,296.0
1785924442.431642,58386,298.3999938964844
1785924722.515539,61129,359.3999938964844
1785925014.506146,64119,379.0
1785925245.9661794,67043,199.1999969482422
1785925529.046293,69968,372.29998779296875
1785925732.9223142,73258,165.8000030517578
1785925942.9471557,75856,200.60000610351562
1785926240.2124379,79192,342.3999938964844
1785926478.020762,82256,218.39999389648438
1785926691.946866,85471,225.89999389648438
1785926934.4728005,88500,250.1999969482422
1785927197.2363317,91436,281.6000061035156
1785927495.471426,94396,270.5
1785927739.9855251,97704,181.10000610351562
