Wall time,Step,Value
1786614204.472297,5730,0.05550000071525574
1786614322.835452,8559,0.06129999831318855
1786614473.0046763,11443,0.04479999840259552
1786614579.5646045,12677,0.629800021648407
1786614650.4528909,14444,0.4399000108242035
1786614718.6482408,14928,0.8547999858856201
1786614786.5985255,15468,0.8379999995231628
1786614808.7266517,15764,0.9111999869346619
1786614834.9082947,16304,0.9190000295639038
1786614858.42088,16697,0.9410499930381775
1786614888.7036874,17302,0.9394999742507935
1786614916.982657,17882,0.9419999718666077
1786614945.614679,18468,0.9413999915122986
1786614977.0695043,19098,0.9369999766349792
1786615001.7246902,19600,0.9498000144958496
1786615027.5591068,20083,0.95169997215271
1786615061.7294497,20698,0.9384999871253967
1786615087.2933614,21216,0.948199987411499
1786615117.2921953,21867,0.9348999857902527
1786615144.1026325,22453,0.9413999915122986
1786615166.7573001,22865,0.9381999969482422
1786615199.935142,23461,0.9404000043869019
1786615229.1122031,24124,0.9337000250816345
1786615251.3885972,24547,0.9365500211715698
1786615280.4433167,25144,0.9402999877929688
1786615304.450887,25616,0.9291999936103821
1786615329.5979683,26060,0.9333999752998352
1786615347.6219916,26379,0.9521499872207642
1786615376.6650035,26959,0.9419999718666077
1786615404.2694752,27457,0.9253000020980835
1786615427.300293,27912,0.9317499995231628
1786615459.3524477,28567,0.934499979019165
1786615480.2026143,28936,0.9446499943733215
1786615510.3260126,29558,0.9377999901771545
1786615535.7557886,30086,0.920799970626831
1786615557.1365404,30506,0.9369999766349792
1786615581.2119317,30965,0.9311500191688538
1786615601.7596295,31410,0.9332500100135803
1786615623.607971,31813,0.93954998254776
1786615654.559605,32431,0.9381999969482422
1786615675.2094674,32910,0.9281499981880188
1786615701.472088,33452,0.9186999797821045
1786615723.6747434,33803,0.947350025177002
1786615753.4774616,34433,0.9369999766349792
1786615773.7150056,34817,0.9423999786376953
1786615802.4870224,35415,0.9401999711990356
1786615830.3097887,36000,0.9415000081062317
1786615849.0385675,36411,0.9383500218391418
1786615877.3652554,36899,0.926800012588501
1786615904.9360669,37427,0.920799970626831
1786615933.8781378,37950,0.9215499758720398
1786615955.3906898,38388,0.9343000054359436
1786615977.2488234,38827,0.934149980545044
1786615999.9561067,39307,0.9279999732971191
1786616020.9820533,39775,0.9297999739646912
1786616046.9489233,40192,0.9374499917030334
1786616066.1728055,40559,0.9632999897003174
1786616091.0972211,41052,0.9630249738693237
1786616114.9206789,41566,0.9614499807357788
1786616134.8236613,41981,0.9585000276565552
1786616155.4581504,42370,0.9610999822616577
1786616179.5950818,42864,0.9629499912261963
1786616198.5162933,43255,0.9609000086784363
1786616223.3191638,43782,0.9604750275611877
1786616241.667077,44186,0.9595999717712402
1786616267.162279,44723,0.959725022315979
1786616286.871487,45117,0.9606000185012817
1786616313.0060017,45676,0.9580749869346619
1786616339.9387975,46175,0.9625750184059143
1786616362.6429276,46666,0.9631749987602234
1786616384.3475256,47160,0.9629499912261963
1786616405.769547,47586,0.9574000239372253
1786616432.6089318,48058,0.9527999758720398
1786616455.2518935,48491,0.9567000269889832
1786616476.4162295,48892,0.9599000215530396
1786616499.8237088,49361,0.9648249745368958
1786616528.0685744,49898,0.959725022315979
1786616553.0797548,50402,0.9621999859809875
1786616573.0392535,50875,0.9645249843597412
1786616597.4542606,51374,0.9625750184059143
1786616622.2650309,51885,0.9616749882698059
1786616649.8867385,52390,0.9621250033378601
1786616675.857342,52962,0.957099974155426
1786616701.1055362,53467,0.9621250033378601
1786616726.667323,54006,0.9595749974250793
1786616752.2224646,54524,0.9611499905586243
1786616779.642936,55078,0.9584500193595886
1786616798.7566118,55511,0.9567000269889832
1786616818.1958606,55918,0.9592999815940857
1786616846.261508,56477,0.9580749869346619
1786616868.8622572,56878,0.9599000215530396
1786616891.234635,57379,0.9624249935150146
1786616916.777528,57903,0.9606999754905701
1786616940.5234537,58347,0.9556000232696533
1786616963.2791688,58815,0.9531999826431274
1786616986.063834,59298,0.95169997215271
